X1,id,X,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,free.park_agg,paid.park_agg,pool_agg,kitchen_agg,stove_agg,oven_agg,linen_agg,tv_agg,sound_agg,chair_agg,refri_agg,air condi_agg,heat_agg,storage_agg,coffee_agg,breakfast_agg,workspace_agg,dish_agg,soap_agg,dryer_agg,wifi_agg,laundr|washer_agg,shampoo_agg,sauna_agg,tub_agg,toiletries_agg,restaurant_agg,bar_agg,Amazon Prime Video,BBQ grill,Beachfront,Bidet,Building staff,Carbon monoxide alarm,Cleaning before checkout,Cooking basics,Elevator,Essentials,Ethernet connection,Extra pillows and blankets,Fire extinguisher,First aid kit,frascos recicl\u00e1veis e extratos adquiridos de pequenos agricultores brasileiros. Al\u00e9m dos extratos da agricultura familiar,Free residential garage on premises,Free residential garage on premises \u2013 1 space,Free residential garage on premises \u2013 2 spaces,Free residential garage on premises \u2013 3 spaces,Free street parking,Garden or backyard,Gym,Hangers,Host greets you,Hot water,Iron,Lock on bedroom door,Long term stays allowed,Luggage dropoff allowed,Microwave,Mini fridge,Paid street parking off premises,Paid street parking off premises \u2013 BRL70 per day,Paid valet parking on premises,Paid valet parking on premises \u2013 1 space,Patio or balcony,Private entrance,Room-darkening shades,Smoke alarm
79,172902,79,100,95,0,10,1,1,Entire apartment,Entire home/apt,3,1,1,2,156,2,86,84,9,8,9,9,9,8,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0
80,174101,80,100,100,1,2,1,1,Entire apartment,Entire home/apt,5,1.5,2,2,779,3,190,99,10,10,10,10,10,10,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1
82,178833,82,100,98,1,4,1,1,Private room in apartment,Private room,2,1,1,1,145,10,105,97,10,10,10,10,10,10,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1
83,178951,83,100,98,1,4,1,1,Entire apartment,Entire home/apt,2,1,1,1,107,10,79,96,10,10,10,10,10,10,0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,0,1
84,181138,84,100,0,1,2,1,1,Entire apartment,Entire home/apt,6,2,2,4,1937,7,63,99,10,10,10,10,10,9,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
93,196312,93,NA,67,0,1,1,0,Entire apartment,Entire home/apt,4,1,1,2,180,2,76,96,9,10,10,10,10,9,0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
97,202400,97,NA,0,0,1,1,0,Entire apartment,Entire home/apt,3,1,1,0,336,3,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,202778,98,100,86,1,4,1,1,Entire apartment,Entire home/apt,2,1,1,1,603,3,200,96,10,9,10,10,10,9,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1
99,210173,99,100,100,0,4,1,1,Private room in apartment,Private room,6,2,3,4,1527,2,3,100,10,10,10,10,8,10,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
100,215793,100,100,100,0,4,1,1,Private room in apartment,Private room,2,2.5,1,1,414,2,30,99,10,10,10,10,10,10,0,0,0,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
